Date,Close
4/26/2021 16:00:00,27.55
4/27/2021 16:00:00,27.81
4/28/2021 16:00:00,27.8
4/29/2021 16:00:00,27.21
4/30/2021 16:00:00,27.96
5/3/2021 16:00:00,27.93
5/4/2021 16:00:00,26.68
5/5/2021 16:00:00,26.52
5/6/2021 16:00:00,25.95
5/7/2021 16:00:00,26.76
5/10/2021 16:00:00,26.27
5/11/2021 16:00:00,25.88
5/12/2021 16:00:00,24.78
5/13/2021 16:00:00,25.12
5/14/2021 16:00:00,27.2
5/17/2021 16:00:00,27.52
5/18/2021 16:00:00,28
5/19/2021 16:00:00,27.68
5/20/2021 16:00:00,27.53
5/21/2021 16:00:00,27.17
5/24/2021 16:00:00,27.9
5/25/2021 16:00:00,28.58
5/26/2021 16:00:00,29.37
5/27/2021 16:00:00,30
5/28/2021 16:00:00,29.56
6/1/2021 16:00:00,30.15
6/2/2021 16:00:00,31.31
6/3/2021 16:00:00,30.67
6/4/2021 16:00:00,30.54
6/7/2021 16:00:00,30.89
6/8/2021 16:00:00,31.08
6/9/2021 16:00:00,30.45
6/10/2021 16:00:00,29.83
6/11/2021 16:00:00,29.93
6/14/2021 16:00:00,28.75
6/15/2021 16:00:00,28.61
6/16/2021 16:00:00,29.28
6/17/2021 16:00:00,28.42
6/18/2021 16:00:00,28.18
6/21/2021 16:00:00,28.67
6/22/2021 16:00:00,28.06
6/23/2021 16:00:00,28.15
6/24/2021 16:00:00,27.46
6/25/2021 16:00:00,28.13
6/28/2021 16:00:00,26.15
6/29/2021 16:00:00,25.78
6/30/2021 16:00:00,26.36
7/1/2021 16:00:00,26.36
7/2/2021 16:00:00,26.06
7/6/2021 16:00:00,25.02
7/7/2021 16:00:00,24.08
7/8/2021 16:00:00,23.72
7/9/2021 16:00:00,24.26
7/12/2021 16:00:00,23.86
7/13/2021 16:00:00,22.85
7/14/2021 16:00:00,22.58
7/15/2021 16:00:00,21.95
7/16/2021 16:00:00,20.92
7/19/2021 16:00:00,19.72
7/20/2021 16:00:00,21.19
7/21/2021 16:00:00,23.19
7/22/2021 16:00:00,22.71
7/23/2021 16:00:00,21.96
7/26/2021 16:00:00,23.16
7/27/2021 16:00:00,22.8
7/28/2021 16:00:00,22.82
7/29/2021 16:00:00,22.71
7/30/2021 16:00:00,21.65
8/2/2021 16:00:00,21.46
8/3/2021 16:00:00,21.43
8/4/2021 16:00:00,21.04
8/5/2021 16:00:00,22.55
8/6/2021 16:00:00,23.08
8/9/2021 16:00:00,22.71
8/10/2021 16:00:00,23.65
8/11/2021 16:00:00,23.99
8/12/2021 16:00:00,23.36
8/13/2021 16:00:00,22.86
8/16/2021 16:00:00,22.79
8/17/2021 16:00:00,22.04
8/18/2021 16:00:00,22.48
8/19/2021 16:00:00,21.66
8/20/2021 16:00:00,21.96
8/23/2021 16:00:00,22.83
8/24/2021 16:00:00,23.84
8/25/2021 16:00:00,24.11
8/26/2021 16:00:00,23.47
8/27/2021 16:00:00,24.35
8/30/2021 16:00:00,23.63
8/31/2021 16:00:00,24.14
9/1/2021 16:00:00,23.51
9/2/2021 16:00:00,24.02
9/3/2021 16:00:00,22.96
9/7/2021 16:00:00,23.56
9/8/2021 16:00:00,22.78
9/9/2021 16:00:00,23.28
9/10/2021 16:00:00,22.75
9/13/2021 16:00:00,23.31
9/14/2021 16:00:00,22.86
9/15/2021 16:00:00,23.17
9/16/2021 16:00:00,23.09
9/17/2021 16:00:00,23.55
9/20/2021 16:00:00,23.24
9/21/2021 16:00:00,22.96
9/22/2021 16:00:00,23.61
9/23/2021 16:00:00,24.69
9/24/2021 16:00:00,25.44
9/27/2021 16:00:00,26.38
9/28/2021 16:00:00,26.17
9/29/2021 16:00:00,25.52
9/30/2021 16:00:00,25.01
10/1/2021 16:00:00,26.09
10/4/2021 16:00:00,25.34
10/5/2021 16:00:00,25.42
10/6/2021 16:00:00,24.9
10/7/2021 16:00:00,24.49
10/8/2021 16:00:00,23.83
10/11/2021 16:00:00,23.88
10/12/2021 16:00:00,24.33
10/13/2021 16:00:00,23.65
10/14/2021 16:00:00,23.73
10/15/2021 16:00:00,23.67
10/18/2021 16:00:00,23.13
10/19/2021 16:00:00,22.34
10/20/2021 16:00:00,22.44
10/21/2021 16:00:00,22.33
10/22/2021 16:00:00,22.29
10/25/2021 16:00:00,22.05
10/26/2021 16:00:00,21.82
10/27/2021 16:00:00,21.64
10/28/2021 16:00:00,21.97
10/29/2021 16:00:00,22.16
11/1/2021 16:00:00,23.07
11/2/2021 16:00:00,22.91
11/3/2021 16:00:00,23.17
11/4/2021 16:00:00,22.88
11/5/2021 16:00:00,24.79
11/8/2021 16:00:00,24.59
11/9/2021 16:00:00,24.17
11/10/2021 16:00:00,23.49
11/11/2021 16:00:00,23.02
11/12/2021 16:00:00,22.36
11/15/2021 16:00:00,22.3
11/16/2021 16:00:00,21.59
11/17/2021 16:00:00,21.33
11/18/2021 16:00:00,20.95
11/19/2021 16:00:00,20.49
11/22/2021 16:00:00,20.33
11/23/2021 16:00:00,20.15
11/24/2021 16:00:00,20.16
11/26/2021 13:00:00,17.95
11/29/2021 16:00:00,18.16
11/30/2021 16:00:00,17.62
12/1/2021 16:00:00,16.38
12/2/2021 16:00:00,17.89
12/3/2021 16:00:00,17.2
12/6/2021 16:00:00,18.59
12/7/2021 16:00:00,18.5
12/8/2021 16:00:00,19.52
12/9/2021 16:00:00,19.19
12/10/2021 16:00:00,19.28
12/13/2021 16:00:00,18.34
12/14/2021 16:00:00,18.15
12/15/2021 16:00:00,17.89
12/16/2021 16:00:00,17.57
12/17/2021 16:00:00,18.28
12/20/2021 16:00:00,18.9
12/21/2021 16:00:00,20.54
12/22/2021 16:00:00,21.25
12/23/2021 16:00:00,21.2
12/27/2021 16:00:00,20.95
12/28/2021 16:00:00,20.9
12/29/2021 16:00:00,20.79
12/30/2021 16:00:00,20.53
12/31/2021 16:00:00,20.12
