Date,Close
1/4/2021 16:00:00,20.38
1/5/2021 16:00:00,20.6
1/6/2021 16:00:00,20.4
1/7/2021 16:00:00,20.74
1/8/2021 16:00:00,20.47
1/11/2021 16:00:00,20.14
1/12/2021 16:00:00,20.13
1/13/2021 16:00:00,20.1
1/14/2021 16:00:00,20.92
1/15/2021 16:00:00,20.79
1/19/2021 16:00:00,20.87
1/20/2021 16:00:00,20.78
1/21/2021 16:00:00,20.74
1/22/2021 16:00:00,20.22
1/25/2021 16:00:00,19.22
1/26/2021 16:00:00,18.72
1/27/2021 16:00:00,18.98
1/28/2021 16:00:00,19.74
1/29/2021 16:00:00,18.67
2/1/2021 16:00:00,18.8
2/2/2021 16:00:00,19.45
2/3/2021 16:00:00,20.44
2/4/2021 16:00:00,21.05
2/5/2021 16:00:00,21.31
2/8/2021 16:00:00,21.61
2/9/2021 16:00:00,21.05
2/10/2021 16:00:00,20.93
2/11/2021 16:00:00,20.72
2/12/2021 16:00:00,20.6
2/16/2021 16:00:00,22.47
2/17/2021 16:00:00,23.2
2/18/2021 16:00:00,22.89
2/19/2021 16:00:00,24.59
2/22/2021 16:00:00,25.97
2/23/2021 16:00:00,26.46
2/24/2021 16:00:00,27.01
2/25/2021 16:00:00,25.47
2/26/2021 16:00:00,26.75
3/1/2021 16:00:00,26.31
3/2/2021 16:00:00,27.59
3/3/2021 16:00:00,28.67
3/4/2021 16:00:00,27.4
3/5/2021 16:00:00,26.09
3/8/2021 16:00:00,26.69
3/9/2021 16:00:00,27.58
3/10/2021 16:00:00,26.7
3/11/2021 16:00:00,27.47
3/12/2021 16:00:00,28.46
3/15/2021 16:00:00,29.79
3/16/2021 16:00:00,28.25
3/17/2021 16:00:00,28.93
3/18/2021 16:00:00,28.27
3/19/2021 16:00:00,28.96
3/22/2021 16:00:00,27.48
3/23/2021 16:00:00,25.33
3/24/2021 16:00:00,24.85
3/25/2021 16:00:00,25.85
3/26/2021 16:00:00,26.06
3/29/2021 16:00:00,25.63
3/30/2021 16:00:00,26.65
3/31/2021 16:00:00,26.54
4/1/2021 16:00:00,26.86
4/5/2021 16:00:00,28.11
4/6/2021 16:00:00,28.6
4/7/2021 16:00:00,29
4/8/2021 16:00:00,28.56
4/9/2021 16:00:00,29.3
4/12/2021 16:00:00,27.75
4/13/2021 16:00:00,27.82
4/14/2021 16:00:00,27.94
4/15/2021 16:00:00,27.32
4/16/2021 16:00:00,27.03
4/19/2021 16:00:00,26.89
4/20/2021 16:00:00,25.72
4/21/2021 16:00:00,27.33
4/22/2021 16:00:00,26.91
4/23/2021 16:00:00,27.27
